,store_name,store_address,store_tel
43,건대2호점,서울특별시 광진구 아차산로 207(화양동 1층),T 02-462-6282
44,원주단관아울렛점,강원도 원주시 단구동 1606-2,T 033-763-6232
45,송탄출장소점,경기도 평택시 서정동 847-2,T 031-611-8232
46,홍천점,강원도 홍천군 홍천읍 신장대리 65-18,T 033-434-2374
47,강릉솔올점,강원도 강릉시 교동 1867-3,T 033-655-7707
48,동두천중앙로점,경기도 동두천시 생연동 657-1,T 031-862-1212
49,수원역점,경기도 수원시 팔달구 매산로1가 11-15,T 031-241-6232
50,답십리역점,서울특별시 동대문구 답십리동 495-1 1층,T 02-2212-2556
51,대전청사점,대전광역시 서구 둔산동 923 1층 103호,T 070-4246-7779
52,충주연수점,충청북도 충주시 연수동 1512,T 043-844-6233
53,대전은행동점,대전광역시 중구 은행동 170-42외,T 042-226-6232
54,배재대점,대전광역시 서구 도마동 도마로 15-4,T 042-536-6232
55,당진터미널점,충청남도 당진시 수청동 999 지원빌딩 109  201호,T 041-356-6230
56,아산온양역점,충청남도 아산시 온천동 212-7,T 041-544-6232
57,서산이마트점,충청남도 서산시 잠홍동 459-3 이마트서산점 지하1층,T 041-681-6232
58,보령동대점,충청남도 보령시 동대동 476-41,T 041-934-6232
59,대전선사공원점,대전시 서구 월평동 261,T 042-485-6233
60,홍성오관점,충청남도 홍성군 홍성읍 오관리 266,T 041-631-6232
61,대전중촌점,대전광역시 중구 중촌동 16-10,T 042-222-6233
62,대전역점,대전광역시 동구 정동 1-1 대전역 1층,T 070-4194-9632
63,대전대흥점,대전시 중구 대흥동 206-1,T 070-7743-6232
64,군산수송점,전라북도 군산시 나운동 1539-2,T 070-4151-6234
65,군산나운점,전라북도 군산시 나운동 100-14 유앤미프라자 1층 101호,T 070-4258-6233
66,군산수송사거리점,전라북도 군산시 수송동 850-9 제1층,T 070-4221-5448
67,계룡점,충청남도 계룡시 엄사면 엄사리 174-2,T 070-7761-6232
68,충북오송프라자점,충청북도 청원군 강외면 연제리 715 오송프라자 115호-206호,T 070-4258-6232
69,군산중앙점,전라북도 군산시 중앙로2가동 12-4,T 070-4412-6232
70,공주중동점,충청남도 공주시 중동 67-3번지 1 2F,T 041-857-6232
71,청주분평점,충청북도 청주시 흥덕구 분평동 1383 103 202호,T 043-286-6232
72,대전세이백화점점,대전광역시 중구 문화동 1-60,T 042-252-6232
73,천안쌍용점,충청남도 천안시 서북구 쌍용동 392-1 외 2필지 101,T 041-577-6232
74,청주금천점,충청북도 청주시 상당구 금천동 신성로 92번길 5,T 043-293-6232
75,청주상당로데오점,충청북도 청주시 상당구 서문동 6-4 티아이에이에스티올 1층 121호~123호,T 070-4403-6232
76,청주지웰시티몰점,충청북도 청주시 흥덕구 복대동 3379 신영지웰시티 1차상업시설(229호),T 043-233-6231
77,대전유성자이점,대전광역시 유성구 봉명동 469-1,T 042-368-8300
78,광주메가박스점,광주광역시 서구 치평동 1223-3 4 3층,T 062-385-6233
79,목포평화광장점,전라남도 목포시 상동 1160-9 1  2층,T 061-283-6232
80,전북대점,전라북도 전주시 덕진구 덕진동1가 1261-4,T 070-4239-6233
81,전남도청점,전라남도 무안군 삼향면 남악리 8293 1층,T 070-4135-6232
82,광주오일팔공원점,광주광역시 서구 쌍촌동 1271-1 1층 2층,T 062-381-6233
83,광주쌍촌점,광주광역시 서구 쌍촌동 964-8 1층,T 062-385-6232
84,광주진월점,광주광역시 남구 진월동 259 2동 1층 2층,T 062-651-6232
85,광주현대웰빙랜드점,광주광역시 북구 운암동 118-14 1층,T 062-511-6232
86,광주대점,광주광역시 남구 효덕로 282  1층 2호 (진월동),T 070-4254-4232
87,광양중마동점,전라남도 광양시 중동 1755-9 1층,T 061-795-6232
88,김제검산점,전라북도 김제시 검산동 844 1층,T 063-544-6232
89,광주무등시네마점,광주광역시 동구 충장로1가 25-1 1층,T 070-8800-6232
90,천안갤러리아점,충청남도 천안시 서북구 불당동 불당16길 11-1 1층,T 041-553-6232
91,대구범물점,대구광역시 수성구 범물동 1277-7번지,T 070-8812-8174
92,대구진천점,대구광역시 달서구 진천동 620-2,T 053-643-7619
93,대구시지점,대구광역시 수성구 신매동 568-4,T 053-791-8799
94,대구서구청점,대구광역시 서구 국채보상로 225(평리동),T 053-563-1117
95,대구7호광장점,대구광역시 달서구 달구벌대로 1720(두류동),T 070-4175-0100
96,대구침산점,대구광역시 북구 고성동3가 11-1,T 053-351-2007
97,구미역사점,경상북도 구미시 원평2동 1008-1 1 3층,T 054-454-7966
98,포항이동점,경상북도 포항시 남구 대잠동 458-2,T 054-272-8228
99,포항오천점,경상북도 포항시 남구 오천읍 세계리 857-1,T 054-293-3133
100,문경시청점,경상북도 문경시 매봉2길 32(모전동),T 054-554-9788
101,보문콜로세움점,경상남도 경주시 보문로 132-16(북군동),T 054-743-7979
102,포항두호점,경상북도 포항시 북구 두호동 1097-2 101호,T  054-251-0012
103,포항북부해수욕장점,경상남도 포항시 북구 항구동 17-89 1층,T 054-254-3434
104,대구황금점,대구광역시 수성구 동대구로15길 24(두산동),T 053-766-7177
105,제주연동점,제주특별자치도 제주시 연동 283-26,T 070-4117-6232
106,진주산업대점,경상남도 진주시 칠암동 490-11,T 055-759-8253
107,울산대학교점,울산광역시 남구 무거동 628-26 1층,T 052-222-2877
108,부산재송점,부산광역시 해운대구 재송동 1044-12 1층,T 051-782-7733
109,부산연산토곡점,부산광역시 연제구 과정로 113(연산동 1층 2층),T 051-758-6232
110,부산장전동역점,부산광역시 금정구 장전동 366-36,T 070-4243-6237
111,부산조방점,부산광역시 동구 범일동 830-27,T 051-631-2924
112,김해휴앤락점,경상남도 김해시 내외중앙로 137(내동 휴앤락몰),T 070-8882-5422
113,울산성남점,울산광역시 중구 시계탑거리 27(옥교동 1 2 3층),T  052-246-6232
114,울산동구점,울산광역시 동구 명덕로 4-1(서부동),T 052 235 6232
115,부산동래역점,부산광역시 동래구 명륜로 130-3 (명륜동),T 070-4175-6232
116,다대포해수욕장점,부산광역시 사하구 다대로 684(다대동 1층),T 070-8881-6323
117,통영무전점,경상남도 통영시 무전동 1015-4,T 070-4257-6500
118,부산사직운동장점,부산광역시 동래구 사직동 89-10 1층,T 070-4252-6231
119,부산용호메트로점,부산광역시 남구 용호동 170 1층,T 070-8818-6232
120,삼천포점,경상남도 사천시 벌리동 253-8,T 070-7718-6238
121,부산남산점,부산광역시 금정구 남산동 989-14 1 2층,T 051-518-3303
122,부산문현로터리점,부산광역시 남구 문현동 405-6 1층,T 051-636-6232
123,해운대백병원점,부산광역시 해운대구 좌동 1433-3,T 051-704-6242
124,진주교대점,경상남도 진주시 진양호로 342(신안동),T 055-747-6006
125,제주노형타워점,제주특별자치도 제주시 노형로407105(노형동 노형타워),T 064-712-6232
126,진주금산점,경상남도 진주시 금산면 장사리964-2 105호(1층일부),T 055-762-6232
127,부산당감점,부산광역시 부산진구 당감동 282-84 1층,T 051-898-3000
128,대림대점,경기도 안양시 동안구 비산1동 526-7대림대학 홍지관 2층,T 
129,드와이트스쿨점,서울특별시 마포구 상암동 1582-1번지드와이트 스쿨 2층 식당,T 
130,레드덕점,서울특별시 강남구 삼성동 108-6 7층,T 
131,인천지법부천지원점,경기도 부천시 원미구 상동 445-11층 매점 내,T 
132,세브란스치과대학점 ,서울특별시 서대문구 성산로 250치과대학 2층,T 
133,수원지법안산지원점,경기도 안산시 단원구 고잔 1동1동 711,T 
134,제중관점,서울특별시 서대문구 성산로 250 연세대학교제중관 지하2층,T 
135,연세의료원종합관점,서울특별시 서대문구 신촌동 134 연세의료원 종합관 장례식장건물2층,T 
136,인천지방법원점,인천광역시 남구 학익동 278-2 인천지방법원구내식당,T 
137,연세의료원점(학생식당),서울특별시 서대문구 성산로 250 연세대학교학생회관,T 
138,인천시청점,인천광역시 남동구 간석동 413-3 대성빌딩304호전부,T 032-427-6232
139,이천(하)휴게소점,경기도 이천시 마장면 목리142,T 031-637-0987
140,부천송내역점,경기도 부천시 소사구 송내1동 708-2 1층,T 032-655-5757
141,일산대화역점,경기도 고양시 일산서구 대화동 2205 태진빌딩1층202,T 031-917-6232
142,서울대역점,서울특별시 관악구 남부순환로 1840(봉천동 계림빌딩1층 지하1층),T 02-3285-62323
143,신림본점,서울특별시 관악구 신림동 1637-23 청암엔에프빌딩,T 02-878-6231
144,서울랜드점,경기도 과천시 막계동 433 서울랜드정문앞,T 02-509-6450
145,이수태평점,서울특별시 동작구 동작대로27길 32(사당동 1층),T 02-595-7781
146,인하대후문점,인천광역시 남구 인하로77번길 8 (용현동),T 032-213-6232
147,일산그랜드백화점점,경기도 고양시 일산서구 중앙로 1436 (주엽동 그랜드백화점지하2층일부,T 031-924-6232
148,인천만수사거리점,인천광역시 남동구 만수동 956 정은프라자 102호~104호,T 032-467-5859
149,삼양사거리점,서울특별시 강북구 솔샘로 223(미아동 2층),T 02-981-6232
150,신정네거리역점,서울특별시 양천구 중앙로 259-1(신정동 1층),T 02-2693-6233
151,문정역점,서울특별시 송파구 송이로30길 13(문정동 1층),T 02-408-6232
152,동인천역점,인천광역시 중구 인현동 29-28 31,T 032-765-6232
153,마포도화점,서울특별시 마포구 도화길 27(도화동 성진빌딩1층),T 02-717-6232
154,봉천현대시장점,서울특별시 관악구 봉천동 501-4,T 02-3285-6233
155,신천역사거리점,서울특별시 송파구 잠실동 35외 5필지3-ZIUM단지내상가S동1층 101,T 02-416-6231
156,일산탄현역점,경기도 고양시 일산서구 탄현동 1563-7 예성프라자2차 1층,T 031-916-6232
157,삼육대점,경기도 남양주시 별내면 558-65 외1필지(불암로25-39),T 070-4222-6233
158,인천구월동로데오점,인천광역시 남동구 인하로507번길 22(구월동 1층102호),T 032-446-7440
159,인천서구청점,인천광역시 서구 서곶로301번길 7-1 101(심곡동 세광빌딩),T 032-563-6232
160,인천논현한화지구점,인천광역시 남동구 논현동 649-4 105 106 202 203호,T 032-423-1416
161,부천중동현대점,경기도 부천시 원미구 중동 1163-13 1층101호,T 032-326-6236
162,인천신포점,인천광역시 중구 신포동 40 1층 지하1층,T 032-765-7656
163,문막휴게소점,강원도 원주시 문막읍 동화리113,T 
164,인천청학시대상가점,인천광역시 연수구 용담로 11 (청학동 시대아파트상가지하층 101호),T 032-851-6232
165,임학역점,인천광역시 계양구 장제로 867 (임학동 101호),T 032-543-6292
166,대성리역점,경기도 가평군 청평면 경춘로 104,T 031-584-9520
167,영등포구청점,서울특별시 영등포구 당산로 138(당산동3가),T 02-2672-6232
168,가양역점,서울특별시 강서구 양천로57길 9-13102(가양동 2동휴먼빌102),T 02-3662-6232
169,김포사우점,경기도 김포시 사우동 942,T 031-998-6234
170,광명사거리역점,경기도 광명시 광명동 158-797,T 031-2688-6232
171,방이사거리점,서울특별시 송파구 송파동 48-18 1층,T 02-421-6230
172,이천(상)휴게소점,경기도 이천시 신둔면 용면리 산 83-1,T 031-632-0033
173,약수역점,서울특별시 중구 신당동 369-9 명빌딩 1층 2층,T 02-2237-6235
174,수원방죽역점,경기도 수원시 영통구 영통동 976-13 1층,T 031-206-4333
175,수원버스터미널점,경기도 수원시 권선구 권선동 1192-1 효림트윈타워102호 202호,T 031-223-4232
176,오산대점,경기도 오산시 궐동 652-3 1층,T 070-7699-7382
177,성남신구대점,경기도 성남시 중원구 금광동 3117 1층,T 031-747-6232
178,도농이마트점,경기도 남양주시 도농동 1-29 부영애시앙사랑관141호,T 031-563-6232
179,시흥대야점,경기도 시흥시 대야동 549-3 1층,T 031-314-6232
180,용인역북점,경기도 용인시 처인구 중부대로1313번길 2 (역북동 1 2층),T 031-334-2760
181,천호역점,서울특별시 강동구 성내2동 9-14 102 103,T 02-476-6232
182,산본역점,경기도 군포시 산본동 1134-2 신명빌딩제1008호1009호2006호,T 031-399-8201
183,무교동사거리점,서울특별시 종로구 서린동 128-2,T 02-732-6232
184,공릉역점,서울특별시 노원구 공릉동 386-1,T 070-4192-6231
185,상계역점,서울특별시 노원구 중계동 142-3 1층,T 070-7753-6231
186,수원장안구청점,경기도 수원시 장안구 송죽동 499-5 1층,T 031-246-6232
187,수원북문점,경기도 수원시 장안구 영화동 282-5(1층),T 031-256-6232
188,불광역점,서울특별시 은평구 불광동 281-101 1층,T 02-353-6232
189,안성공도점,경기도 안성시 공도읍 만정리817-2번지 우성메디컬 114 115 11,T 031-655-7398
190,용인터미널점,경기도 용인시 처인구 중부대로 1486용인공용버스터미널A동1층),T 031-322-8863
191,용인처인구청점,경기도 용인시 처인구 김량장동 296-53 아이렉스타워1층 106호,T 031-322-6232
192,평촌역점,경기도 안양시 동안구 관양동 1606 평촌주공공이 106,T 031-387-6232
193,성남수진역점,경기도 성남시 중원구 성남동 2126,T 031-754-6232
194,강릉안목항점,강원도 강릉시 견소동 3-1,T 070-8825-6232
195,강변역점,서울특별시 광진구 광나루로56길 34강변상가105 106 201호),T 02 - 453 -6232
196,평내호평역점,경기도 남양주시 호평동 638-1 늘봄타워111호 112호,T 031-591-6232
197,길음역점,서울특별시 성북구 정릉로 376(돈암동 BR빌딩B2),T 02-953-6232
198,화성향남점,경기도 화성시 향남읍 행정리474-5 J&H;빌딩지상1층지상2층103호,T 031-8047-0089
199,야탑중앙점,경기도 성남시 분당구 야탑동 361-1,T 031-8017-6233
200,수원정자점,경기도 수원시 장안구 정자동 876-6 103,T 031-269-6232
201,둔촌고교사거리점,서울특별시 강동구 천호대로 1200(둔촌동),T 02-473-6233
202,남양주진접지구점,경기도 남양주시 진접읍 해밀예당1로 50-47 (리첸타워101호),T 031-575-6231
203,명동점,서울특별시 중구 퇴계로 125(충무로2가),T 02-3789-6232
204,장평점,서울특별시 동대문구 장안동 365-1,T 02-2212-2745
205,서현광장점,서울특별시 분당구 서현동 269-5,T 031-706-6233
206,구리장자못공원,경기도 구리시 수택3동 876 (1 2층),T 031-568-6232
207,남한산성역점,경기도 성남시 수정구 양지동 857,T 031-731-2301
208,회기역점,서울특별시 동대문구 휘경동 264-2지상1층 107호 108호,T 070-4409-6232
209,통영아울렛점,경상남도 통영시 안개로 37 166(멀티프렉스아울렛줌점 166-167호),T 055-648-6232
210,충북증평점,충청북도 증평군 증평읍 광장로 80,T 043-836-6282
211,선산(하)휴게소점,경상북도 구미시 부곡동 65번지,T 없음
212,문산터미널점,경기도 파주시 문산읍 문향로67번길1  1 2층,T 031-952-8264
213,금촌로데오점,경기도 파주시 로데오로 44-2(금촌동 혜인1층),T 031-944-1388
214,파주운정점,경기도 파주시 와석순환로 133(동패동 형성프라자 111호),T 070-8818-7922
215,웨스턴돔B동점,경기도 고양시 일산동구 정발산로24 제아이 208호,T 031-901-3002
216,신림역점,서울특별시 관악구 신림동 1640-3번지,T 02-885-6232
217,나무정원병원점,서울특별시 ,T 
218,남대문5가점(대우재단),서울특별시 ,T 
219,나사렛국제병원,인천광역시 연수구 민우금로 98 동춘동 나사렛국제병원1층,T 032-813-1971
220,카이스트KI점,대전광역시 유성구 구성동 373-1 E4 KI 빌딩 카이스트 KI점,T 
221,울산간절곶,울산광역시 울주군 서생면 간절곶해안길 205(2층),T 052-237-6232
222,장승포점,경상남도 거제시 장승로 146-23 (장승포동),T 055-682-3010
223,충남대병원점,대전시 중구 대사동 640 충남대병원 내 1F,T 042-280-8843
224,대구수성점,대구광역시 수성구 수성동 3가 322-1,T 053-744-6588
225,성결대학교점 ,서울특별시 중구 남대문로 5가 526번지,T 
226,태안농협하나로마트점,경기도 화성시 동탄지성로 166,T 031-223-6230
227,여주(상)휴게소점,서울특별시 강남구 도곡로18길 34  1동 204호(도곡동 현대아파트),T 031-882-2900
228,이천로데오점,경기도 이천시 중리천로81번길 16 (창전동 2층),T 031-633-5555
229,목포대점,전라남도 무안군 청계면 영산로 1666 목포대 정보종합센터1층 카페베네,T 
230,정안휴게소점(해피천),충청남도 공주시 정안면 전평리 5-10번지,T 041-858-0522
231,대전송촌점,대전광역시 대덕구 송촌동 459-2,T 070-4252-6233
232,대성이엔씨점,대구광역시 중구,T 
233,익산모현점,전라북도 익산시 모현동 1가 854,T 063-856-6232
234,이마트봉담점,경기도 화성시 봉담읍 효행로 278 지하1층,T 031-225-6230
235,천안두정점,충청남도 천안시 서북구 두정동 1985 1동,T 070-4215-6232
236,동해천곡점,강원도 동해시 천곡동 한선로 61-21,T 033-532-1867
237,속초대포항점,강원도 속초시 대포동 956-5,T 033-637-8880
238,밀양점,경상남도 밀양시 남천강변로 39 (내일동),T 055-356-5835
239,나라기록관점,경기도 성남시 수정구 시흥동 231 5층,T 
240,대전우송대점,대전광역시 동구 자양동 동대전로 174-2 1층,T 042-627-6232
241,신도림TM점,서울특별시 구로구 구로동 새말로97(신도림테크노마트 1층 4호),T 02-868-9911
242,채석강바다호텔점,전라북도 부안군 변산면 채석강길 38,T 063-580-5555
243,김해어방점,경상남도 김해시 어방동 1088-7번지 1층,T 055-325-9777
244,창원시티세븐점,경상남도 창원시 의창구 원이대로 332,T 055-600-5422
245,대구용산점,대구광역시 달서구 평리로 62(용산동 932-1),T 070-4245-6231
246,인천검단사거리점,인천광역시 서구 완정로 180(마전동 동화빌딩1층),T 032-567-6437
247,대구팔공점,대구광역시 동구 팔공로 499(지묘동),T 053-983-8380
248,인천호구포역점,인천광역시 남동구 논현로 46번길 22(논현동 코아루파크 에이동),T 032-464-6232
249,연세의료원abmrc점,서울특별시 서대문구 신촌동 134번지 연세의료원 ABMRC,T 
250,상현역점,경기도 용인시 수지구 광교중앙로 314 (상현동 108 109호),T 031-215-5432
251,평촌학원가점,경기도 안양시 동안구 평촌동 922-5,T 031-383-6232
252,수원원천유원지점,경기도 수원시 영통구 월드컵로 42번길 101(원천동),T 031-214-6232
253,인천공항랜드동점,인천광역시 중구 공항로 271(2층 4-48-29),T 032-743-4200
254,인천공항랜드서점,인천광역시 중구 공항로 271(공항터미널 2층 4-20-22),T 032-743-4201
255,공주대점,충청남도 공주시 한적2길 5 (신관동 1층),T 041-852-6232
256,광주일곡점,광주광역시 북구 설죽로 516(일곡동  1층),T 062-575-6230
257,가산더블유몰점,서울특별시 금천구 디지털로 188 (가산동 W몰 지상 1층),T 02-2081-0125
258,인천공항탑승동점,인천광역시 중구 운서동 2581 인천공항여객터미널 3층 5-24-12,T 032-743-4204
259,인천공항탑승서점,인천광역시 중구 운서동 2581 인천공항여객터미널 3층 5-06-16 ,T 032-743-4205
260,인천공항여객동점,인천광역시 중구 운서동 2581 인천공항여객터미널 3층 5-92-19 ,T 032-743-4202
261,인천공항여객서점,인천광역시 중구 운서동 2581 인천공항여객터미널 3층 5-82-16 ,T 032-743-4203
262,충북진천점,충청북도 진천군 진천읍 상산로 86,T 043-537-6232
263,경산성암점,경상북도 경산시 삼성현로 168 (사정동),T 053-811-2552
264,김포감정동점,경기도 김포시 중봉로 8 (감정동 1층),T 031-984-6340
265,제주중앙병원점,제주특별자치도 제주시 월랑로 91 (이호이동),T 064-711-0807
266,천안펜타포트,충청남도 천안시 서북구 불당도 571-1 지하 2층 B,T 041-534-6232
267,구미문성못점,경상북도 구미시 고아읍 들성로 177 1동 1층,T 054-453-8012
268,양산범어점,경상남도 양산시 물금읍 화합길 37,T 055-365-6232
269,독산역점,서울특별시 금천구 가산디지털1로 1 (가산동 더루벤스밸리 109-2호),T 02-6954-4441
270,장유코아점,경상남도 김해시 장유면 장유로 230  성환프리마빌딩 101호,T 055-335-6232
271,청주봉명점,충청북도 청주시 흥덕구 덕암로 30번길 44(봉명동),T 043-263-6232
272,울산정자해변점,울산광역시 북구 동해안로 1615(산하동),T 052-291-0630
273,휘닉스파크점,강원도 평창군 봉평면 면온리 1089-5 외 15필지,T 
274,휘닉스워터파크점,강원도 평창군 봉평면 면온리 1089-5 외 15필지,T 033-330-3214
275,용인동백CGV점,경기도 용인시 기흥구 동백죽전대로 444(중동  쥬네브6004호),T 031-679-0610
276,남양주장현점,경기도 남양주시 진접읍 장현로 109 (1 2층),T 031-572-5365
277,괴산휴게소점(파인),충청북도 괴산군 장연면 오가리 103,T 없음
278,방배1동점,서울특별시 서초구 방배로 119-1 (방배동  룡은빌딩 1층),T 02-585-3403
279,대구이곡점,대구광역시 달서구 이곡공원로 24 (이곡동),T 053-593-4010
280,춘천CGV점,강원도 춘천시 석사동 885-3 넥서스프라자 1층,T 033-264-4302
281,충남금산점,충청남도 금산군 금산읍 상리 21-1,T 041-752-6233
282,신림고시촌점,서울특별시 관악구 신림로 85 (신림동 1층),T 070-4235-6232
283,충무로역점,서울특별시 중구 퇴계로 189 (필동1가  1층),T 02-2279-6232
284,공주신관점,충청남도 공주시 대학로61 (신관동),T 070-7786-6232
285,금왕(하)휴게소점,충청북도 음성군 금왕읍 용계리 산 23-27,T 없음
286,수안보호텔점,충청북도 충주시 수안보면 온천리 292,T 043-845-3500
287,금왕(평택)휴게소점,충청북도 음성군 금왕읍 용계리 산 25-6,T 없음
288,대전모다아울렛점,대전광역시 유성구 대정동 303-2,T 042-544-5006
289,부산기장점,부산광역시 기장군 기장읍 동부리 124-3 1층,T 051-721-1021
290,소래포구점,인천광역시 남동구 소래역로 20 (논현동  베스트프라자 1층 106호),T 032-423-7666
291,인천검단2지구점,인천광역시 서구 마전동 621-5,T 032-564-6232
292,서울고교사거리점,서울특별시 서초구 명달로 43(방배동 1층),T 070-7778-6630
293,구리돌다리점,경기도 구리시 경춘로 244번길 B (수택동  1층),T 031-564-6232
294,거제아주점,경상남도 거제시 아주동 아주도시개발사업지구 21블럭 9로트 1층 ,T 055-682-6232
295,대구동구시장점,대구광역시 동구 효목로 5 (효목동 1 2층),T 053-745-0019
296,수원대점,경기도 화성시 봉담읍 와우로 95  104호,T 031-225-6232
297,안성점,경기도 안성시 중앙로 402 (동본동),T 031-671-6232
298,고신의대점,부산광역시 서구 감천로 262(암남동  고신대학교 의과대학),T 051-256-6173
299,웨스턴돔점,경기도 고양시 일산동구 장항동 861,T 031-906-6232
300,잠실루터회관점,서울특별시 송파구 올림픽로 35다길 42 (신천동  루터회관 1층),T 02-6424-7232
301,청주율량신도시점,충청북도 청주시 상당구 주성로 279번길 22(주성동  1-2층),T 043-212-1157
302,거제옥포점,경상남도 거제시 옥포로 206 (옥포동  1층),T 055-687-6232
303,아산이마트트레이더스점,충청남도 아산시 배방읍 고속철대로 133 (1층),T 070-7776-6233
304,휘닉스파크스키장점,강원도 평창군 봉평면 면온리 1089-5 외 15필지,T 033-330-6346
305,대전상대점,대전시 유성구 상대동 471-6,T 010-7232-9917
306,중곡역점,서울특별시 광진구 중곡동 164-1,T 02-498-2298
307,인천검암점,인천광역시 서구 승학로 482  1층 108호 (검암동 606-7),T 032-562-4717
308,동아대점,부산광역시 사하구 낙동대로 550번길 24,T 070-4417-7942
309,세종청사복지부점(10동),세종특별시 다솜로 261 세종정부청사 내 복지부,T 
310,대구다사점,대구광역시 달성군 다사읍 대실역북로 1길 15-3,T 053-587-0620
311,대전태평점,대전광역시 중구 유천동 309-8,T 070-4413-6232
312,창동역점,서울특별시 도봉구 창동 노해로 341  101 (창동 창동신원리베르텔),T 02-908-6232
313,세종청사보훈처점(9동),세종특별시 다솜로 261 세종청부청사 내 2-1구역 보훈처 1층,T 
314,장성아치실점,전라남도 장성군 황룡면 홍길동로 271,T 061-395-6232
315,전주효자점,전라북도 전주시 완산구 홍산로 160-3,T 063-224-6232
316,속초중앙점,강원도 속초시 중앙로 150-1 (중앙동),T 033-635-5228
317,포항중앙점,경상북도 포항시 북구 불종로 54 (상원동),T 054-246-6232
318,금촌로터리점,경기도 파주시 번영로 11 (금촌동  1층),T 031-949-0533
319,충북옥천점,충청북도 옥천군 옥천읍 문정리 436-16,T 043-731-0100
320,용인구성점,경기도 용인시 기흥구 구성로 84 (언남동  1층),T 031-8005-5151
321,울산명촌점,울산광역시 북구 명촌로 59번지 (명촌동  1 2층),T 052-289-9905
322,수원팔달문점,경기도 수원시 팔달구 행궁로 71 (팔달로 3가  1층),T 031-245-1109
